date,val
790630,4330
790701,2342
790703,0
790705,3606
790706,3358
790707,2647
790708,0
790710,4781
790712,4978
790713,4708
790714,5137
790715,4476
790716,3947
790718,41
790719,0
790720,818
790721,1568
790722,2037
790801,4723
790802,3655
790803,5187
790804,4084
790805,4476
790806,3024
790807,2647
790808,1573
790811,2198
790812,2037
790813,3256
790814,1539
790815,2037
790817,2037
790818,1544
790819,1123
790821,0
790822,2745
790823,3575
790824,3856
790825,3866
790826,3358
790827,3256
790828,3758
790829,4019
790830,3428
790831,3182
790901,3999
790902,3667
790903,2037
790904,3256
790905,4476
790906,4160
790907,4635
790908,4310
790910,3083
790911,3633
790912,3707
790913,3642
790914,1428
790915,208
790916,579
790917,818
790918,1204
790919,645
790920,2037
790921,2739
790922,1123
790923,1123
790924,3256
790925,2685
790926,3121
790927,2857
790929,3595
790930,3251
791001,3423
791002,3256
791003,3645
791004,3561
791005,513
791006,2037
791007,1556
791008,3305
791009,2771
791010,0
791011,2327
791012,2037
791013,0
791014,0
791016,1732
791017,2037
791018,1732
791019,3021
791020,2647
791021,3019
791022,2084
791023,1123
791024,818
791025,818
791026,1123
791027,2037
791028,2647
791029,1441
791030,1123
791031,1709
791101,1393
791102,2303
791104,818
791105,2647
791108,513
791109,208
791110,0
791111,1678
791113,1503
791115,1507
791116,1530
791117,1522
791118,0
791119,2342
791120,0
791121,2037
791125,889
791126,208
791127,1428
791128,607
791129,818
791130,818
791201,1010
791202,558
791203,513
791205,513
791208,513
791209,208
791210,0
791212,0
791213,818
791215,0
791216,513
791217,208
791218,513
791219,433
791220,1488
791221,0
791223,1344
791224,1428
791225,294
791226,0
791228,0
791229,1169
791230,556
791231,377
800101,0
800102,0
800103,0
800104,566
800105,367
800106,567
800109,0
800111,0
800112,0
800113,0
800114,0
800117,0
800118,1625
800120,0
800121,513
800123,0
800124,940
800126,533
800127,2037
800129,2037
800130,818
800131,916
800201,1123
800202,1123
800203,0
800204,666
800205,1123
800206,818
800207,818
800208,409
800209,513
800210,1019
800212,914
800214,1693
800217,0
800218,0
800219,0
800220,208
800223,2777
800224,2647
800225,1501
800227,1527
800228,1352
800303,0
800304,0
800305,2037
800306,1431
800307,0
800308,2647
800310,2235
800312,2413
800313,1768
800315,2647
800316,3256
800317,0
800318,1268
800321,3191
800323,1732
800324,2647
800325,2264
800326,2771
800327,2658
800328,208
800329,3114
800330,2037
800331,2037
800401,2471
800403,2262
800404,2357
800405,2037
800407,2647
800408,1463
800410,0
800411,3256
800412,0
800420,4476
800421,4476
800423,3256
800425,0
800426,1732
800428,2965
800429,2647
800501,1732
800502,3256
800503,2647
800505,2647
800506,0
800507,0
800508,3900
800509,2037
800510,3256
800511,4100
800512,2037
800513,3608
800514,1471
800516,1123
800517,1728
800518,0
800520,2647
800521,3601
800522,3256
800526,4100
800528,3816
800529,2342
800531,5219
800601,4476
800602,4837
800604,3986
800607,2037
800608,1585
800609,322
800610,208
800611,3717
800612,4171
800613,4476
800614,3938
800615,4615
800616,3339
800617,4476
800618,4476
800619,4820
800620,1732
800621,1123
800622,3256
800623,4503
800624,3460
800625,4519
800626,5218
800627,3914
800628,3256
800629,4955
800630,3256
800701,3866
800702,3256
800703,3866
800704,3256
800705,4476
800707,0
800708,208
800709,337
800710,3405
800712,3704
800713,0
800714,208
800715,3256
800716,4144
800717,4476
800718,4861
800720,2647
800721,0
800722,0
800723,2841
800724,2037
800725,3256
800725,3256
800726,3866
800727,4780
800729,3677
800730,4330
800731,3539
800801,3526
800802,3758
800803,3256
800804,0
800805,3555
800806,818
800807,3256
800808,2647
800810,3256
800812,2647
800813,1123
800814,1123
800815,1123
800816,3270
800817,3256
800818,3561
800819,0
800820,3023
800821,2952
800822,2647
800824,2924
800825,0
800826,2037
800827,2236
800828,3256
800829,2952
800830,0
800831,4493
800901,4000
800902,2800
800903,3256
800904,3888
800905,2037
800906,0
800908,2037
800909,2037
800910,0
800911,818
800912,1522
800913,2037
800914,2647
800915,2037
800916,2037
800917,2647
800918,2149
800919,2037
800920,2647
800921,2647
800922,3397
800923,2647
800924,1522
800925,2037
800926,513
800927,0
800928,1123
800929,2647
800930,1561
801001,2037
801002,1123
801003,1573
801004,1123
801005,2037
801006,2037
801007,2647
801008,1558
801009,2037
801010,1509
801011,2204
801012,1356
801013,2647
801014,2037
801015,2789
801017,2342
801018,2278
801019,2037
801020,2037
801021,2037
801022,1492
801023,3002
801025,705
801026,513
801027,0
801028,818
801030,0
801101,818
801102,1123
801103,1518
801104,0
801106,513
801107,0
801108,818
801109,818
801110,513
801111,208
801112,818
801113,0
801114,0
801116,0
801117,208
801118,1358
801119,558
801120,513
801121,0
801122,0
801123,0
801124,1123
801125,48
801126,0
801127,0
801128,107
801129,208
801130,0
801201,0
801202,0
801204,208
801206,1428
801207,0
801208,2037
801209,208
801210,0
801211,0
801212,0
801213,0
801214,0
801215,621
801216,578
801217,100
801218,1123
801219,0
801220,0
801221,391
801222,244
801224,0
801225,705
801227,208
801228,376
801229,513
801231,728
810103,594
810104,1198
810105,0
810127,1838
810128,0
810129,0
810201,2647
810202,2224
810203,1321
810204,513
810205,1123
810207,1418
810208,2859
810209,0
810211,2037
810212,513
810214,625
810216,2037
810220,1123
810221,2037
810222,2724
810223,1483
810225,1429
810226,2952
810228,1623
810301,2253
810302,0
810304,0
810305,2037
810306,1924
810311,0
810313,1518
810314,2647
810315,2521
810317,2037
810318,1382
810319,2093
810320,1448
810321,1608
810322,2327
810325,4171
810326,1509
810328,620
810402,4075
810403,1402
810405,2533
810407,1123
810408,4780
810411,3475
810412,3496
810413,0
810414,2037
810415,590
810416,1539
810417,2803
810418,3141
810419,208
810421,3810
810422,0
810423,3561
810424,2952
810425,2647
810427,3667
810428,4180
810429,3256
810430,3256
810501,3518
810502,2370
810503,2647
810504,4100
810505,3277
810506,0
810507,4206
810508,4780
810509,4612
810510,2713
810514,3561
810515,3763
810516,0
810517,2647
810519,2678
810521,4606
810529,2037
810531,1720
810601,0
810602,2968
810604,513
810605,2647
810606,0
810607,3008
810608,5118
810610,4476
810612,4280
810613,4684
810615,3256
810616,2411
810617,2394
810618,2952
810619,4520
810620,4855
810621,5085
810622,4340
810623,4780
810624,4581
810625,4171
810626,0
810627,3298
810628,3957
810629,2647
810703,2759
810704,3343
810705,0
810706,3256
810707,4102
810708,0
810709,0
810710,2086
810711,2647
810712,3025
810716,208
810717,74
810718,2037
810719,3256
810720,3426
810721,4360
810722,4476
810723,4681
810724,4476
810725,3561
810725,3561
810726,3256
810727,3461
810728,0
810729,3648
810730,0
810731,3256
810801,0
810802,208
810803,3561
810804,3256
810805,3895
810806,3256
810807,1732
810808,2647
810809,3460
810810,1567
810811,2424
810812,208
810813,0
810814,1541
810815,2878
810816,3256
810818,3323
810819,2145
810820,2037
810821,3256
810822,2647
810823,2037
810824,2758
810825,3969
810826,3561
810827,2647
810828,2748
810829,2037
810830,2801
810831,3256
810901,0
810902,3082
810904,0
810905,1123
